src_ip,events,first_seen,last_seen,bytes_to_srv,bytes_to_cli
178.130.47.44,113,2025-08-29 20:10:26.711000+00:00,2025-08-30 19:00:05.205000+00:00,776.0,21010.0
178.130.47.49,112,2025-08-29 19:57:58.389000+00:00,2025-08-30 17:53:38.037000+00:00,0.0,38200.0
178.130.47.157,112,2025-08-29 20:11:17.479000+00:00,2025-08-30 19:17:14.624000+00:00,0.0,38200.0
178.130.47.180,112,2025-08-29 19:28:57.897000+00:00,2025-08-30 19:17:00.601000+00:00,0.0,31484.0
128.199.33.214,112,2025-08-30 03:48:03.658000+00:00,2025-08-30 15:45:31.222000+00:00,11278.0,20136.0
178.130.47.45,112,2025-08-29 19:55:25.036000+00:00,2025-08-30 19:00:42.130000+00:00,388.0,21010.0
178.130.47.51,111,2025-08-29 20:14:52.052000+00:00,2025-08-30 19:03:53.458000+00:00,831.0,32968.0
178.130.47.136,111,2025-08-29 19:39:55.901000+00:00,2025-08-30 18:53:13.659000+00:00,0.0,21010.0
178.130.47.169,111,2025-08-29 19:23:07.019000+00:00,2025-08-30 19:17:32.475000+00:00,388.0,17190.0
178.130.47.11,111,2025-08-29 19:45:16.011000+00:00,2025-08-30 18:50:06.329000+00:00,388.0,24830.0
178.130.47.152,111,2025-08-29 19:22:21.142000+00:00,2025-08-30 19:02:41.695000+00:00,776.0,19599.0
178.130.47.146,111,2025-08-29 20:07:09.475000+00:00,2025-08-30 19:05:47.177000+00:00,637.0,29148.0
157.245.55.194,111,2025-08-30 16:14:45.067000+00:00,2025-08-30 17:48:04.225000+00:00,12384.0,19960.0
89.248.163.54,111,2025-08-30 09:19:51.449000+00:00,2025-08-30 09:21:08.201000+00:00,17874.0,6430.0
178.130.47.182,111,2025-08-29 20:12:57.475000+00:00,2025-08-30 18:01:11.534000+00:00,1585.0,19546.0
178.130.47.162,110,2025-08-29 20:08:32.778000+00:00,2025-08-30 19:06:50.730000+00:00,1071.0,22920.0
178.130.47.18,110,2025-08-29 19:53:58.441000+00:00,2025-08-30 19:15:20.960000+00:00,0.0,34380.0
212.192.252.227,110,2025-08-29 21:42:36.745000+00:00,2025-08-30 18:51:22.048000+00:00,0.0,0.0
178.130.47.20,110,2025-08-29 19:42:17.640000+00:00,2025-08-30 19:07:51.507000+00:00,0.0,24830.0
178.130.47.39,110,2025-08-29 19:28:27.096000+00:00,2025-08-30 19:04:54.215000+00:00,776.0,22920.0
178.130.47.24,110,2025-08-29 19:21:11.350000+00:00,2025-08-30 18:40:53.249000+00:00,0.0,17190.0
140.228.29.17,110,2025-08-29 20:00:00.036000+00:00,2025-08-30 17:32:43.477000+00:00,0.0,0.0
45.42.215.29,110,2025-08-29 22:25:06.392000+00:00,2025-08-30 18:18:06.920000+00:00,0.0,0.0
162.220.55.123,110,2025-08-29 20:36:52.230000+00:00,2025-08-30 18:00:44.593000+00:00,0.0,0.0
178.130.47.25,109,2025-08-29 20:09:44.402000+00:00,2025-08-30 19:12:32.525000+00:00,0.0,19100.0
178.130.47.56,109,2025-08-29 19:40:32.647000+00:00,2025-08-30 18:27:36.040000+00:00,938.0,15400.0
178.130.47.12,109,2025-08-29 20:16:11.716000+00:00,2025-08-30 19:17:40.523000+00:00,0.0,15280.0
178.130.47.168,108,2025-08-29 19:22:07.336000+00:00,2025-08-30 19:19:52.020000+00:00,0.0,22920.0
178.130.47.22,108,2025-08-29 19:59:30.231000+00:00,2025-08-30 19:16:30.743000+00:00,0.0,13370.0
178.130.47.19,108,2025-08-29 20:06:09.728000+00:00,2025-08-30 19:20:21.896000+00:00,388.0,32470.0
178.130.47.43,107,2025-08-29 19:40:01.950000+00:00,2025-08-30 19:10:35.983000+00:00,683.0,15280.0
178.130.47.171,107,2025-08-29 19:27:12.995000+00:00,2025-08-30 18:57:39.727000+00:00,2535.0,18293.0
178.130.47.150,107,2025-08-29 20:16:18.162000+00:00,2025-08-30 18:59:51.240000+00:00,1219.0,16674.0
178.130.47.187,107,2025-08-29 19:48:44.008000+00:00,2025-08-30 19:12:31.542000+00:00,749.0,7640.0
178.130.47.163,107,2025-08-29 19:42:20.983000+00:00,2025-08-30 19:19:55.602000+00:00,0.0,15280.0
178.130.47.26,105,2025-08-29 19:55:35.452000+00:00,2025-08-30 18:09:13.811000+00:00,0.0,32470.0
178.130.47.16,105,2025-08-29 19:26:24.939000+00:00,2025-08-30 18:35:08.501000+00:00,0.0,19100.0
178.130.47.148,105,2025-08-29 20:18:08.470000+00:00,2025-08-30 19:05:47.162000+00:00,443.0,23418.0
